Exposant	Secteur	Pays	AI
Railee	Hospitality/Tourism/Travel	France	Not AI
Suzan AI	Banking/Finance/Insurance/Legal	France	Not AI
:probabl.	Software Development/Cloud services	France	Not AI
.lumen	Health	Romania	Not AI
áISPALISá	Banking/Finance/Insurance/Legal	France	Not AI
0260.ai	Consulting	Canada	Not AI
102-103	Software Development/Cloud services	France	Not AI
1836	Banking/Finance/Insurance/Legal	France	Not AI
1km a pied	Smart City/Building	France	Not AI
1POINT6	Information technologies	France	Not AI
20 Minutes	Media/Entertainment/Culture	France	AI
2CRSi	Industry	France	Not AI
2DS LAB	Software Development/Cloud services	France	Not AI
2Emotion	Software Development/Cloud services	France	Not AI
2tonnes	HR/Training/Education	France	AI
321	Consulting	France	Not AI
360Learning	HR/Training/Education	France	AI
365Talents	Software Development/Cloud services	France	Not AI
36Kr	Media/Entertainment/Culture	China	AI
37 WINE		France	Not AI
3D UTU	Smart City/Building	Ukraine	Not AI
4GIFT	Luxury/Fashion/Beauty	Italy	Not AI
4MedBox	Other	Netherlands	Not AI
50inTech	HR/Training/Education	France	AI
62 RUBY STREET	Software Development/Cloud services	France	Not AI
A Virtual	Consumer goods/Retail/E-commerce	South Korea	AI
A.V. Mapping	Media/Entertainment/Culture	Taiwan	AI
A2D Acquire to Decide	Software Development/Cloud services	France	Not AI
AALIA.TECH	Health	France	Not AI
ABAKA AI	Information technologies	Singapore	Not AI
Abilous	HR/Training/Education	France	AI
ABSOLUTE LABS	Marketing/Advertising/Communication	France	Not AI
Abundant Earth	Software Development/Cloud services	France	Not AI
Abyssale	Marketing/Advertising/Communication	France	Not AI
Academic Sight	Industry	Turkey	Not AI
AccesLibre	Government/Public institutions	France	Not AI
Acclime	Consulting	Australia	Not AI
ACCURE Battery Intelligence	Software Development/Cloud services	Germany	Not AI
ACHILLE SOLUTIONS	Banking/Finance/Insurance/Legal	France	Not AI
ACS Biotech	Health	France	Not AI
ACSES SOLUTIONS	Other	France	Not AI
Actronika	Other	France	Not AI
Actronika	Other	France	Not AI
ACTRONIKA	Other	France	Not AI
ACTUAL GROUP	Other	France	Not AI
ActuIA	Media/Entertainment/Culture	France	AI
Acuicy	Other	Canada	Not AI
ACWA ROBOTICS	Industry	France	Not AI
ADAM Aerospace	Cybersecurity/Defense	United States of America	Not AI
ADAPTIVE MEDIA France	HR/Training/Education	France	AI
ADARA	Information technologies	Cote dÕIvoire	Not AI
ADASTEC	Software Development/Cloud services	United States of America	Not AI
AdCreative.ai	Marketing/Advertising/Communication	France	Not AI
AddOptics	Consumer goods/Retail/E-commerce	Netherlands	AI
ADIM	Government/Public institutions	France	Not AI
Adlema	Industry	Turkey	Not AI
Adriel	Software Development/Cloud services	United States of America	Not AI
Advizeo	Energy	France	Not AI
Aectual	Other	Netherlands	Not AI
AeproMED Innovation corp.,Ltd.	Health	Taiwan	Not AI
AEQUO	Energy	France	Not AI
AER BFC (Agence Economique Regionale Bourgogne Franche Comte)	Government/Public institutions	France	Not AI
Aerialmetric	Industry	Madagascar	Not AI
Aeterlink Corp.	Smart City/Building	Japan	Not AI
Aevy	Energy	Norway	Not AI
AFFLUENCES	Mobility/Transportation	France	Not AI
Africa Smart Citizen	Smart City/Building	Senegal	Not AI
Africanews	Media/Entertainment/Culture	France	AI
AfricaTech Lab	Government/Public institutions	France	Not AI
AFTERDATA	Banking/Finance/Insurance/Legal	France	Not AI
AFTERDATA	Banking/Finance/Insurance/Legal	France	Not AI
AFX 54	Media/Entertainment/Culture	France	AI
AG Partners Publicis Africa	Media/Entertainment/Culture	France	AI
AG'EAU-VITAL	Industry	France	Not AI
AGENCE FR DE REALITE VIRTUELLE	Marketing/Advertising/Communication	France	Not AI
Agilauto Partage	Mobility/Transportation	France	Not AI
Aglae	Marketing/Advertising/Communication	France	Not AI
Agnavi	Food	Japan	Not AI
Agnavi Co. Ltd.,	Food	Japan	Not AI
Agnostiq	Software Development/Cloud services	Canada	Not AI
Agorize	Information technologies	France	Not AI
Agrable	Banking/Finance/Insurance/Legal	France	Not AI
AGRI LAB LEVERAGE	Food	France	Not AI
Agribanana	Industry	Cote dÕIvoire	Not AI
agriBORA	Food	Kenya	Not AI
AGRILOGIC SYSTeMES	Industry	New Caledonia	Not AI
AgroSustain	Food	Switzerland	Not AI
Agua de Sol SAS	Food	France	Not AI
aHRtemis	HR/Training/Education	France	AI
AI Avenue sponsored by Salesforce	Software Development/Cloud services	France	Not AI
AI Bright	Consumer goods/Retail/E-commerce	France	AI
AI BRIGHT	Consumer goods/Retail/E-commerce	France	AI
AI for Biogas	Energy	France	Not AI
AI SILK Corporation	Industry	Japan	Not AI
AI21 Labs	Software Development/Cloud services	Israel	Not AI
AI4MedImaging	Software Development/Cloud services	Portugal	Not AI
Ai4Privacy	Telecom/Connectivity	Switzerland	Not AI
AiiNTENSE	Health	France	Not AI
Ailive Inc.	Software Development/Cloud services	South Korea	Not AI
AILY LABS	Software Development/Cloud services	Germany	Not AI
